step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
81,volatile,97.56702652049195,0.10619047619047618,3.884326246284303,0.4557032167148472,0.032816508156605244,12.605720455830905,-23.77194832141799,3.14299830201258,4.825654190556026,0.8413279442717233,0,,-4,182.28128668593888,-15791.496134872832,6.627609047070437,439.41649888984466
82,volatile,97.65639653945026,0.10603174603174603,3.9214013888171166,0.4585530074590814,0.03283640072815296,12.617591034163528,-23.83544235935735,3.1728067166089615,4.869996061025271,0.8485946722081548,0,,-4,183.42120298363255,-15902.838516885786,6.649873070668308,440.8546598999819
83,volatile,96.89577607480713,0.10587301587301587,3.5784012897796984,0.4334771433051675,0.032834815214337246,12.40261174450882,-23.410471594656027,2.8970346369828777,4.459767942576519,0.7813666527968208,0,,-4,173.390857322067,-14931.134769335253,6.844252696103502,438.3463992507059
84,volatile,96.34182690059252,0.1057142857142857,3.3396528697064056,0.41519951317511683,0.032755378814044084,12.213205303138007,-23.05060368540159,2.7050809072439503,4.174224832168861,0.7345719624624554,0,,-4,166.07980527004673,-14226.915530100545,6.985124718354894,437.65517302784974
85,volatile,96.74922175030721,0.10555555555555554,3.5078192109998696,0.4284572836853482,0.03286087707244674,12.337830620068035,-23.346447802286708,2.8402866456438955,4.375351776355844,0.7675325653559744,0,,-4,171.3829134741393,-14740.08973602249,7.087739036675618,437.94607950077807
86,volatile,97.06348380428145,0.10539682539682539,3.640351650150521,0.4386931888863955,0.032922135765630196,12.422553563329089,-23.56249413853256,2.946842726721019,4.533860573580023,0.793508923429502,0,,-4,175.47727555455822,-15137.582266113594,7.16722164617194,438.7127676354903
87,volatile,96.76531163684605,0.10523809523809523,3.5072974437803097,0.42877681989023975,0.032909750357283205,12.323116740213761,-23.388025738129492,2.8398671447993693,4.374727742761251,0.7674302989809406,0,,-4,171.5107279560959,-14753.834816468901,7.243986489069457,439.53524575291885
88,volatile,96.76371681410565,0.10507936507936508,3.5029002123075657,0.4286194025949468,0.032932766974794095,12.31272958182315,-23.402506598476332,2.836331770695283,4.369468653919848,0.7665684416122828,0,,-4,171.44776103797872,-14747.74312201816,7.245205071676127,441.01939055024195
89,volatile,96.96924273966333,0.10492063492063491,3.587951345504308,0.4352906033661522,0.03298361612729912,12.365474386997658,-23.55120136705956,2.904712881785464,4.471189809223152,0.7832384637188443,0,,-4,174.1162413464609,-15006.555388900337,7.296957174631971,442.1841449407111
90,volatile,97.18582737341585,0.10476190476190475,3.6792416261804988,0.44234118055316923,0.03302585310315295,12.417864028730195,-23.70079132081342,2.978110267449121,4.580372984911876,0.8011313587313776,0,,-4,176.9364722212677,-15280.69667714668,7.351774468822401,443.3241177384334
