step,regime,spot,time_to_expiry,fair_value,delta,gamma,vega,theta,bid,ask,half_spread,trade_size,trade_price,option_inventory,hedge_shares,cash,cumulative_transaction_cost,pnl
64,calm,99.16549412743548,0.10888888888888888,1.5891845622792147,0.4651026143529759,0.0867488726400777,13.004588124843183,-9.69608074627049,1.3777091966065074,1.7506599279519222,0.1864753656727074,0,,1,-46.510261435297586,4727.014023475915,17.0426854985306,273.71942247634433
65,calm,99.20025558938396,0.10873015873015872,1.6038623726838779,0.4680409439715615,0.0868355761597936,13.007724501233145,-9.719093632625144,1.391403593714058,1.7663211516536979,0.18745877896981983,0,,1,-46.80409439715615,4756.156498731886,17.04851515951399,273.56460917273034
66,calm,99.11846652400497,0.10857142857142857,1.5643355095217188,0.46085845801202363,0.0868305670892787,12.966577918005985,-9.683487943764446,1.3545250303837637,1.7241459886596742,0.18481047913795517,0,,1,-46.08584580120236,4684.950560978044,17.06275349939678,273.4257476532848
67,calm,99.15949393116725,0.1084126984126984,1.5817755576670507,0.4643412534808874,0.08692969334369392,12.9731351002298,-9.71036655281335,1.3707965953033583,1.7427545200307433,0.1859789623636924,0,,1,-46.43412534808874,4719.478877549151,17.069660544119948,273.2720626629907
68,calm,99.29226915089804,0.10825396825396824,1.642643156749351,0.4758167531788406,0.08706543522804613,13.009137617799585,-9.780135452319602,1.4275860652471444,1.8077002482515576,0.1900570915022065,-1,1.8077002482515576,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
69,calm,99.00377408137916,0.10809523809523809,1.507463865732312,0.45063672901734475,0.08687309568111408,12.886156359801157,-9.637997860522514,1.3264637867282472,1.688463944736377,0.1810000790040649,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
70,calm,99.04805281538057,0.10793650793650793,1.525968435665071,0.4543970113593957,0.0869965591459478,12.897049276642175,-9.668550903219522,1.3437285504755112,1.7082083208546306,0.18223988518955975,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
71,calm,99.26208079398833,0.10777777777777778,1.6236639196691982,0.4729653309014998,0.08724395137934164,12.970578228748728,-9.783905752691236,1.4348784370513619,1.8124494022870345,0.1887854826178363,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
72,calm,99.20984858214959,0.10761904761904761,1.5975294067235026,0.46833111334439126,0.08727933545917314,12.943096363521144,-9.764705553112407,1.410494936473028,1.7845638769739773,0.1870344702504747,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
73,calm,99.06791166471429,0.10746031746031745,1.5303960164588162,0.4558644615818276,0.08720800075507237,12.876519852837747,-9.696741201911406,1.3478594833560755,1.7129325495615568,0.1825365331027407,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
74,calm,99.19929121058175,0.1073015873015873,1.5894898023863533,0.4672520979316065,0.08739848416230558,12.919783038918697,-9.771285957309196,1.4029939856264675,1.775985619146239,0.1864958167598857,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
75,calm,99.2434925618364,0.10714285714285714,1.6086734664062092,0.47103964676059334,0.08748871927339891,12.925501341861642,-9.798829263079206,1.4208923441569932,1.7964545886554253,0.18778112224921603,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
76,calm,99.40028540545461,0.10698412698412697,1.6820377228177819,0.4846945861706088,0.08758201955758342,12.960972850624422,-9.875301424348226,1.4893411953889903,1.8747342502465734,0.1926965274287914,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
77,calm,99.33962414062621,0.10682539682539682,1.6512328356145574,0.47931134060598096,0.08764714114549692,12.935562847887702,-9.855250771189274,1.460600235628382,1.8418654356007327,0.19063259998617535,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
78,calm,99.08016686768005,0.10666666666666666,1.528276612241747,0.4565000393610856,0.08753644753417908,12.832732331940697,-9.7325352967188,1.34588207922155,1.710671145261944,0.18239453302019706,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
79,calm,99.06078904826586,0.1065079365079365,1.5179034584909559,0.4547156826824057,0.08757482796071606,12.81424033642559,-9.72767550281453,1.3362039267720618,1.69960299020985,0.18169953171889405,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
80,calm,98.98276756494211,0.10634920634920635,1.481154860204846,0.44779392809033347,0.08752162116535786,12.76723427213562,-9.688789754589498,1.3019174845711214,1.6603922358385708,0.17923737563372472,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
81,calm,99.11806913995686,0.10619047619047618,1.5409933737510286,0.45956414471284895,0.08777036495357807,12.819384523714811,-9.770749819270266,1.3577468177097096,1.7242399297923476,0.18324655604131893,0,,0,0.0,288.7571205909726,18.01177047848974,288.7571205909726
82,calm,99.15177309812914,0.10603174603174603,1.5549781458808525,0.4624399438883365,0.08786847214100106,12.823246582843568,-9.794549189168618,1.3707946101068353,1.7391616816548696,0.18418353577401714,-1,1.7391616816548696,-1,46.24399438883365,-4123.43778484409,18.948805286248298,306.2384393606162
83,calm,98.8668143279069,0.10587301587301587,1.4252356263785728,0.4373549368144586,0.08748628972399712,12.675187719018908,-9.634886064116056,1.2747448394112084,1.625726413345937,0.1754907869673644,0,,-1,43.73549368144586,-3875.479912660094,18.998406780984045,305.9854580449014
84,calm,98.65846226649708,0.1057142857142857,1.3344997628856277,0.4190666599016349,0.08699996305916452,12.532839205297256,-9.499071080915348,1.1900882787722904,1.5289112469989647,0.16941148411333706,0,,-1,41.90666599016349,-3695.086670753342,19.034492646538506,305.910578263336
85,calm,98.81222296015187,0.10555555555555554,1.3984408789790095,0.4323727449179919,0.0874843535870139,12.622949885818059,-9.610767007460282,1.2497453400874157,1.5971364178706031,0.17369553889159364,0,,-1,43.23727449179919,-3826.5933507664295,19.060788723325768,305.93376860861827
86,calm,98.93061526474216,0.10539682539682539,1.448706274428261,0.44264838631644776,0.08780487783635066,12.68047810930704,-9.692106691454947,1.2966429540415674,1.6507695948149546,0.17706332038669348,-1,1.6507695948149546,-2,88.52967726328956,-8143.237825341588,19.97694977792618,325.3163606190501
