final_pnl,max_drawdown,pnl_volatility,sharpe_like,trades,max_abs_inventory,transaction_costs,average_half_spread,regime,seed
2629.9094367290886,7.986248486748536,10.376212635587375,11.255551781063222,139,7,175.08003346550137,0.23119072082887385,calm,48
3804.895476664564,6.098294418521618,16.13937033062544,10.55372737211514,100,5,190.92073833292764,0.45092496715851066,calm,49
2772.971811453048,3.5252599832747364,10.646038362310692,11.660231024344062,132,8,188.24193180918044,0.24045017409078945,calm,50
3599.9354524014116,7.713549469995087,16.06120390145836,10.033820914938588,143,7,47.7413791510861,0.44162245358134455,volatile,1
3218.436542449517,18.60606288382678,18.00340654482713,8.002763619348519,92,7,63.31063362969095,0.6961584680082096,volatile,2
2735.897102865829,58.73188916552863,23.88754970285654,5.127171954702978,28,4,68.07450752703907,1.431025227548463,volatile,3
2760.612423804277,14.630927114655151,23.280249827670488,5.3084475267842866,30,3,45.280228988627854,1.613859852705387,volatile,4
5764.5077550756205,14.402225114838075,20.234553147473083,12.753175522445524,151,8,106.26616774280235,0.4484137981401455,volatile,5
3152.221567284005,29.055405300132406,26.836422816053897,5.258257350600899,31,6,92.45864411390076,1.2132358663779939,volatile,6
5068.801739261981,20.901507109669183,17.224789275993036,13.173498132935906,217,11,52.05543900592601,0.2925699966408939,volatile,7
5029.690191407725,33.843849249067716,26.45240892938881,8.511884744589384,78,8,108.9514754259088,0.7875798188682592,volatile,8
3074.673060693348,21.07956182624548,24.736544509429738,5.3603296327774,32,5,68.29813040504537,1.1062723675827564,volatile,9
4289.2206936273315,20.14786253411671,16.611487985427367,11.558981891828441,203,11,27.875949827081442,0.2878264748296242,volatile,10
2775.9386583723194,57.68849063358357,25.772630562032482,4.821707307217185,24,7,81.0397309146295,1.3948356830699293,volatile,11
3730.1884321244906,20.41643174685305,28.430469621641656,5.873493123013717,34,3,64.19084168493411,1.257071002361482,volatile,12
3447.8407034487127,13.78240872371316,28.78491880913234,5.3620629813687,31,6,65.88832968315707,1.4731914991004205,volatile,13
2124.7176562325535,41.309994324177296,22.317784214799726,4.261866875392272,21,4,49.047196423302964,1.8193050026667286,volatile,14
2478.9804933522546,7.739942365835304,24.99578755479462,4.439724400282689,20,2,33.13182741137779,1.6578653063702258,volatile,15
3202.680387437238,5.9922427856040485,20.951170768006573,6.843133786651969,89,6,49.00305088021901,0.94315666200493,volatile,16
4431.643108379262,18.38233146719722,17.36157840740385,11.426817716489028,155,7,71.02531689216703,0.4175194824214251,volatile,17
5314.832739049173,24.267667266858552,23.95068430401387,9.933937023343484,99,7,98.37811725124853,0.7484237911438343,volatile,18
3663.9630679198353,24.723447597914856,23.942963099803308,6.85051021717152,49,4,63.92182941847339,0.9055072726162412,volatile,19
5141.701148711672,13.718164454066937,18.418844405901094,12.496666460456844,212,10,45.28503619382175,0.2964102814123544,volatile,20
3837.3333776677264,12.103292318390231,20.258319695298493,8.479609211980627,101,7,65.88057300125314,0.6572848724179887,volatile,21
3098.2437336677503,14.05091339946739,29.033183411614704,4.7771694848622,23,5,59.72959421768065,1.5366944683493524,volatile,22
5064.7040711878435,13.647696659686517,22.908297664498473,9.897168959131655,90,6,89.3863121939928,0.6708244303488079,volatile,23
4067.9344424232568,5.821080552597778,15.722088462631406,11.58279678670075,186,8,46.366236235354826,0.32759035115393254,volatile,24
2036.9231576491065,13.462347801007127,22.191147730986177,4.109080109615793,17,4,37.383969750521224,1.4448518305093807,volatile,25
2870.201678598351,7.376470872832215,26.736708278697723,4.805672863389187,23,3,42.56806678500554,1.4488312499869114,volatile,26
5451.395125529288,16.657702865435567,28.35281219324033,8.607187177672083,69,5,91.18182996527409,0.8893107637233697,volatile,27
3859.4862647267937,11.481347156714946,20.824597390420433,8.296647012728714,79,3,61.766154328017286,0.7890040417865505,volatile,28
2434.8443148567603,7.7681546874027845,23.85148157723336,4.569888074042726,21,3,38.761092217917614,1.3264940556129272,volatile,29
1720.3564863501658,37.018660540285055,21.929176777782327,3.511929975271152,13,4,56.17314869909118,1.5122681837395062,volatile,30
2806.130697838198,14.935324212416162,22.824492571653373,5.503722022431803,32,5,36.970072702213045,1.5702585651301364,volatile,31
2647.7766653004237,7.12664304514783,25.130522902406355,4.716605492228101,23,3,40.07045490830725,1.765395279078032,volatile,32
3352.197049510265,34.09973434000494,27.41483988256322,5.473858327592205,31,4,65.92369204391177,1.3262532811082064,volatile,33
3797.6646853455736,9.440227644627157,18.16324512195572,9.35993643263827,127,9,51.79000143636267,0.5289603832519528,volatile,34
1904.962943986137,52.63412764510349,19.662572268376586,4.33706496374722,20,3,40.331369365738894,2.2540575006966757,volatile,35
3972.8720232659084,18.690878405910553,24.25222404004988,7.333355369652248,62,6,68.07046679085893,0.8710751790287143,volatile,36
4334.821299185027,6.55342468040908,20.012732531602758,9.696489571099487,113,8,61.604769196029594,0.49502535383640334,volatile,37
3893.250719064385,11.133212289239054,19.39792888903627,8.984765295872888,98,6,69.41838563486778,0.7877720364113838,volatile,38
